comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_psychosomatic,Dir,66,8,74,0.7481,0.1015,0.6467,2.8058,45.6102,direct,88221,78851
direct_vs_group_psychosomatic,also,99,22,121,1.1222,0.279,0.8432,1.9828,44.7351,direct,88221,78851
direct_vs_group_psychosomatic,Moin,35,0,35,0.3967,0.0,0.3967,5.9878,44.7006,direct,88221,78851
direct_vs_group_psychosomatic,Klinik,47,123,170,0.5328,1.5599,-1.0272,-1.5405,44.279,group,88221,78851
direct_vs_group_psychosomatic,Bitte,28,92,120,0.3174,1.1668,-0.8494,-1.8605,43.5341,group,88221,78851
direct_vs_group_psychosomatic,klar,112,29,141,1.2695,0.3678,0.9018,1.7691,43.2887,direct,88221,78851
direct_vs_group_psychosomatic,Todo,10,58,68,0.1134,0.7356,-0.6222,-2.64,43.082,group,88221,78851
direct_vs_group_psychosomatic,Fach,33,0,33,0.3741,0.0,0.3741,5.9041,42.1463,direct,88221,78851
direct_vs_group_psychosomatic,RS,7,50,57,0.0793,0.6341,-0.5548,-2.9133,41.5638,group,88221,78851
direct_vs_group_psychosomatic,super,85,18,103,0.9635,0.2283,0.7352,2.0464,40.1396,direct,88221,78851
direct_vs_group_psychosomatic,kurz,133,42,175,1.5076,0.5327,0.9749,1.4893,40.0569,direct,88221,78851
direct_vs_group_psychosomatic,passt,55,6,61,0.6234,0.0761,0.5473,2.932,40.0353,direct,88221,78851
direct_vs_group_psychosomatic,werden,123,220,343,1.3942,2.7901,-1.3958,-0.9983,39.7816,group,88221,78851
direct_vs_group_psychosomatic,Torem,4,41,45,0.0453,0.52,-0.4746,-3.3671,39.6832,group,88221,78851
direct_vs_group_psychosomatic,deinen,31,0,31,0.3514,0.0,0.3514,5.8153,39.5919,direct,88221,78851
