comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_nonadjacent,Ösophagusvarizen,0,14,14,0.0,0.1609,-0.1609,-4.8781,19.6036,group,88221,87002
direct_vs_group_nonadjacent,Das,111,54,165,1.2582,0.6207,0.6375,1.0126,19.3174,direct,88221,87002
direct_vs_group_nonadjacent,Hättest,14,0,14,0.1587,0.0,0.1587,4.8379,19.214,direct,88221,87002
direct_vs_group_nonadjacent,al,14,0,14,0.1587,0.0,0.1587,4.8379,19.214,direct,88221,87002
direct_vs_group_nonadjacent,et,14,0,14,0.1587,0.0,0.1587,4.8379,19.214,direct,88221,87002
direct_vs_group_nonadjacent,rüber,14,0,14,0.1587,0.0,0.1587,4.8379,19.214,direct,88221,87002
direct_vs_group_nonadjacent,D,44,12,56,0.4987,0.1379,0.3608,1.8118,18.997,direct,88221,87002
direct_vs_group_nonadjacent,Übelkeit,3,24,27,0.034,0.2759,-0.2419,-2.8274,18.8865,group,88221,87002
direct_vs_group_nonadjacent,offen,11,41,52,0.1247,0.4713,-0.3466,-1.8716,18.8445,group,88221,87002
direct_vs_group_nonadjacent,viel,66,124,190,0.7481,1.4253,-0.6771,-0.9248,18.8072,group,88221,87002
direct_vs_group_nonadjacent,dies,10,39,49,0.1134,0.4483,-0.3349,-1.9315,18.7454,group,88221,87002
direct_vs_group_nonadjacent,Atosil,1,18,19,0.0113,0.2069,-0.1956,-3.6446,18.7418,group,88221,87002
direct_vs_group_nonadjacent,angesetzt,7,33,40,0.0793,0.3793,-0.3,-2.1793,18.7174,group,88221,87002
direct_vs_group_nonadjacent,liebe,61,22,83,0.6914,0.2529,0.4386,1.4306,18.5287,direct,88221,87002
direct_vs_group_nonadjacent,Mail,29,5,34,0.3287,0.0575,0.2712,2.4031,18.4067,direct,88221,87002
direct_vs_group_nonadjacent,forticreme,18,1,19,0.204,0.0115,0.1925,3.6044,18.2687,direct,88221,87002
direct_vs_group_nonadjacent,verschieben,18,1,19,0.204,0.0115,0.1925,3.6044,18.2687,direct,88221,87002
direct_vs_group_nonadjacent,Atmosphäre,0,13,13,0.0,0.1494,-0.1494,-4.775,18.2033,group,88221,87002
direct_vs_group_nonadjacent,Hashtag_PsychÜbergabe,0,13,13,0.0,0.1494,-0.1494,-4.775,18.2033,group,88221,87002
direct_vs_group_nonadjacent,Wilson,0,13,13,0.0,0.1494,-0.1494,-4.775,18.2033,group,88221,87002
