comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_full,Austausch,5,37,42,0.0567,0.4098,-0.3531,-2.7358,26.8238,group,88221,90297
direct_vs_group_full,glaube,64,19,83,0.7255,0.2104,0.515,1.7594,26.8185,direct,88221,90297
direct_vs_group_full,sag,19,0,19,0.2154,0.0,0.2154,5.319,26.7841,direct,88221,90297
direct_vs_group_full,Anwesenheit,2,28,30,0.0227,0.3101,-0.2874,-3.4774,26.2923,group,88221,90297
direct_vs_group_full,Kontrolle,17,62,79,0.1927,0.6866,-0.4939,-1.8029,26.2024,group,88221,90297
direct_vs_group_full,gar,52,13,65,0.5894,0.144,0.4455,1.9929,25.9727,direct,88221,90297
direct_vs_group_full,VP,0,19,19,0.0,0.2104,-0.2104,-5.2518,25.9002,group,88221,90297
direct_vs_group_full,oder,299,193,492,3.3892,2.1374,1.2518,0.6638,25.5495,direct,88221,90297
direct_vs_group_full,wollte,107,47,154,1.2129,0.5205,0.6924,1.2119,25.4236,direct,88221,90297
direct_vs_group_full,Desktop,18,0,18,0.204,0.0,0.204,5.243,25.3744,direct,88221,90297
direct_vs_group_full,dein,18,0,18,0.204,0.0,0.204,5.243,25.3744,direct,88221,90297
direct_vs_group_full,termin,18,0,18,0.204,0.0,0.204,5.243,25.3744,direct,88221,90297
direct_vs_group_full,Aber,53,14,67,0.6008,0.155,0.4457,1.917,25.1136,direct,88221,90297
direct_vs_group_full,Guten,96,40,136,1.0882,0.443,0.6452,1.2862,25.08,direct,88221,90297
direct_vs_group_full,Hab,26,2,28,0.2947,0.0221,0.2726,3.4395,24.9684,direct,88221,90297
direct_vs_group_full,wolle,7,40,47,0.0793,0.443,-0.3636,-2.3994,24.8339,group,88221,90297
direct_vs_group_full,große,5,35,40,0.0567,0.3876,-0.3309,-2.6568,24.6178,group,88221,90297
direct_vs_group_full,Anwesend,0,18,18,0.0,0.1993,-0.1993,-5.1759,24.5371,group,88221,90297
direct_vs_group_full,ERC,0,18,18,0.0,0.1993,-0.1993,-5.1759,24.5371,group,88221,90297
direct_vs_group_full,über,144,245,389,1.6323,2.7133,-1.081,-0.7311,24.23,group,88221,90297
direct_vs_group_full,BIA,22,1,23,0.2494,0.0111,0.2383,3.9404,24.1495,direct,88221,90297
direct_vs_group_full,schau,17,0,17,0.1927,0.0,0.1927,5.1628,23.9647,direct,88221,90297
direct_vs_group_full,kein,68,140,208,0.7708,1.5504,-0.7796,-1.0028,23.7998,group,88221,90297
direct_vs_group_full,Sa,7,39,46,0.0793,0.4319,-0.3526,-2.3633,23.797,group,88221,90297
direct_vs_group_full,geht,137,70,207,1.5529,0.7752,0.7777,0.9973,23.6678,direct,88221,90297
direct_vs_group_full,nachher,35,6,41,0.3967,0.0664,0.3303,2.4829,23.3807,direct,88221,90297
direct_vs_group_full,L,0,17,17,0.0,0.1883,-0.1883,-5.0957,23.1739,group,88221,90297
direct_vs_group_full,LTX,0,17,17,0.0,0.1883,-0.1883,-5.0957,23.1739,group,88221,90297
direct_vs_group_full,brachte,0,17,17,0.0,0.1883,-0.1883,-5.0957,23.1739,group,88221,90297
direct_vs_group_full,bisschen,30,4,34,0.3401,0.0443,0.2958,2.7944,23.113,direct,88221,90297
direct_vs_group_full,Bin,39,8,47,0.4421,0.0886,0.3535,2.2499,22.9982,direct,88221,90297
direct_vs_group_full,ne,21,1,22,0.238,0.0111,0.227,3.8749,22.8307,direct,88221,90297
direct_vs_group_full,verlassen,2,25,27,0.0227,0.2769,-0.2542,-3.3169,22.6398,group,88221,90297
direct_vs_group_full,irgendwie,32,5,37,0.3627,0.0554,0.3074,2.5965,22.6194,direct,88221,90297
direct_vs_group_full,Angst,16,56,72,0.1814,0.6202,-0.4388,-1.7422,22.6149,group,88221,90297
direct_vs_group_full,Bist,16,0,16,0.1814,0.0,0.1814,5.078,22.555,direct,88221,90297
direct_vs_group_full,deinem,16,0,16,0.1814,0.0,0.1814,5.078,22.555,direct,88221,90297
direct_vs_group_full,eigenen,6,35,41,0.068,0.3876,-0.3196,-2.4158,22.0317,group,88221,90297
direct_vs_group_full,fühle,4,30,34,0.0453,0.3322,-0.2869,-2.7273,21.9035,group,88221,90297
direct_vs_group_full,kaum,4,30,34,0.0453,0.3322,-0.2869,-2.7273,21.9035,group,88221,90297
direct_vs_group_full,Schmerz,1,21,22,0.0113,0.2326,-0.2212,-3.8077,21.9003,group,88221,90297
direct_vs_group_full,wegen,127,65,192,1.4396,0.7198,0.7197,0.9945,21.8522,direct,88221,90297
direct_vs_group_full,Hashtag_Schmerzedukation,0,16,16,0.0,0.1772,-0.1772,-5.0108,21.8107,group,88221,90297
direct_vs_group_full,Tac,0,16,16,0.0,0.1772,-0.1772,-5.0108,21.8107,group,88221,90297
direct_vs_group_full,uhr,20,1,21,0.2267,0.0111,0.2156,3.8061,21.5163,direct,88221,90297
direct_vs_group_full,EUS,2,24,26,0.0227,0.2658,-0.2431,-3.2592,21.4336,group,88221,90297
direct_vs_group_full,Kalium,5,32,37,0.0567,0.3544,-0.2977,-2.5294,21.3634,group,88221,90297
direct_vs_group_full,starke,5,32,37,0.0567,0.3544,-0.2977,-2.5294,21.3634,group,88221,90297
direct_vs_group_full,anrufen,61,21,82,0.6914,0.2326,0.4589,1.5498,21.3122,direct,88221,90297
direct_vs_group_full,meinst,15,0,15,0.17,0.0,0.17,4.9878,21.1453,direct,88221,90297
direct_vs_group_full,ruf,15,0,15,0.17,0.0,0.17,4.9878,21.1453,direct,88221,90297
direct_vs_group_full,Alles,28,4,32,0.3174,0.0443,0.2731,2.6965,20.8107,direct,88221,90297
direct_vs_group_full,Hintergrund,1,20,21,0.0113,0.2215,-0.2102,-3.739,20.6324,group,88221,90297
direct_vs_group_full,entschuldigt,1,20,21,0.0113,0.2215,-0.2102,-3.739,20.6324,group,88221,90297
direct_vs_group_full,den,577,444,1021,6.5404,4.9171,1.6233,0.4112,20.6061,direct,88221,90297
direct_vs_group_full,LG,48,14,62,0.5441,0.155,0.389,1.7755,20.5137,direct,88221,90297
direct_vs_group_full,Ösophagusvarizen,0,15,15,0.0,0.1661,-0.1661,-4.9206,20.4476,group,88221,90297
direct_vs_group_full,folgende,2,23,25,0.0227,0.2547,-0.232,-3.1991,20.2338,group,88221,90297
direct_vs_group_full,D,44,12,56,0.4987,0.1329,0.3659,1.8654,20.1914,direct,88221,90297
direct_vs_group_full,liebe,61,22,83,0.6914,0.2436,0.4478,1.4842,19.9857,direct,88221,90297
direct_vs_group_full,PCR,28,73,101,0.3174,0.8084,-0.4911,-1.3332,19.7389,group,88221,90297
direct_vs_group_full,Hättest,14,0,14,0.1587,0.0,0.1587,4.8915,19.7356,direct,88221,90297
direct_vs_group_full,al,14,0,14,0.1587,0.0,0.1587,4.8915,19.7356,direct,88221,90297
direct_vs_group_full,et,14,0,14,0.1587,0.0,0.1587,4.8915,19.7356,direct,88221,90297
direct_vs_group_full,rüber,14,0,14,0.1587,0.0,0.1587,4.8915,19.7356,direct,88221,90297
direct_vs_group_full,behandelt,4,28,32,0.0453,0.3101,-0.2647,-2.6294,19.6942,group,88221,90297
direct_vs_group_full,euch,12,45,57,0.136,0.4984,-0.3623,-1.8304,19.5885,group,88221,90297
direct_vs_group_full,Entlassung,30,76,106,0.3401,0.8417,-0.5016,-1.2931,19.5858,group,88221,90297
direct_vs_group_full,Stimmung,9,39,48,0.102,0.4319,-0.3299,-2.0223,19.5234,group,88221,90297
direct_vs_group_full,gewesen,17,54,71,0.1927,0.598,-0.4053,-1.6053,19.4149,group,88221,90297
direct_vs_group_full,Zi,5,30,35,0.0567,0.3322,-0.2756,-2.4377,19.2354,group,88221,90297
direct_vs_group_full,da,446,333,779,5.0555,3.6878,1.3677,0.4545,19.1831,direct,88221,90297
direct_vs_group_full,PSYCHE,0,14,14,0.0,0.155,-0.155,-4.8244,19.0844,group,88221,90297
direct_vs_group_full,SOMA,0,14,14,0.0,0.155,-0.155,-4.8244,19.0844,group,88221,90297
direct_vs_group_full,aktiven,0,14,14,0.0,0.155,-0.155,-4.8244,19.0844,group,88221,90297
direct_vs_group_full,Termin,138,77,215,1.5643,0.8527,0.7115,0.8712,18.9949,direct,88221,90297
direct_vs_group_full,forticreme,18,1,19,0.204,0.0111,0.193,3.658,18.9023,direct,88221,90297
direct_vs_group_full,Spiegel,10,40,50,0.1134,0.443,-0.3296,-1.914,18.5835,group,88221,90297
direct_vs_group_full,Studie,49,16,65,0.5554,0.1772,0.3782,1.6185,18.3364,direct,88221,90297
direct_vs_group_full,Weißt,13,0,13,0.1474,0.0,0.1474,4.7884,18.326,direct,88221,90297
direct_vs_group_full,kommst,13,0,13,0.1474,0.0,0.1474,4.7884,18.326,direct,88221,90297
direct_vs_group_full,Atosil,1,18,19,0.0113,0.1993,-0.188,-3.5909,18.1115,group,88221,90297
direct_vs_group_full,Übelkeit,3,24,27,0.034,0.2658,-0.2318,-2.7738,18.1082,group,88221,90297
direct_vs_group_full,angesetzt,7,33,40,0.0793,0.3655,-0.2861,-2.1256,17.7543,group,88221,90297
direct_vs_group_full,offen,11,41,52,0.1247,0.4541,-0.3294,-1.8179,17.7338,group,88221,90297
direct_vs_group_full,Atmosphäre,0,13,13,0.0,0.144,-0.144,-4.7213,17.7212,group,88221,90297
direct_vs_group_full,Hashtag_PsychÜbergabe,0,13,13,0.0,0.144,-0.144,-4.7213,17.7212,group,88221,90297
direct_vs_group_full,Wilson,0,13,13,0.0,0.144,-0.144,-4.7213,17.7212,group,88221,90297
direct_vs_group_full,doâs,0,13,13,0.0,0.144,-0.144,-4.7213,17.7212,group,88221,90297
direct_vs_group_full,viel,66,126,192,0.7481,1.3954,-0.6473,-0.8942,17.6982,group,88221,90297
direct_vs_group_full,dies,10,39,49,0.1134,0.4319,-0.3186,-1.8779,17.6717,group,88221,90297
direct_vs_group_full,Na,17,1,18,0.1927,0.0111,0.1816,3.5779,17.6038,direct,88221,90297
direct_vs_group_full,angefangen,17,1,18,0.1927,0.0111,0.1816,3.5779,17.6038,direct,88221,90297
direct_vs_group_full,okay,20,2,22,0.2267,0.0221,0.2046,3.0692,17.5161,direct,88221,90297
direct_vs_group_full,1,145,230,375,1.6436,2.5471,-0.9036,-0.6302,17.5088,group,88221,90297
direct_vs_group_full,Das,111,59,170,1.2582,0.6534,0.6048,0.9396,17.3962,direct,88221,90297
direct_vs_group_full,geschrieben,35,9,44,0.3967,0.0997,0.2971,1.9354,17.0234,direct,88221,90297
